name,friendly_name,ip,mac
server,Server,10.10.20.20,1e:77:35:5b:1a:a3
adguard,AdGuard,10.10.10.200,bc:24:11:45:08:90
homeassistant,Home Assistant,10.10.10.111,de:53:8c:82:a2:84
webserver,Webserver,10.10.20.10,aa:d1:84:d5:51:32
production,Production,10.10.20.242,bc:24:11:d1:8b:55
ansible,AAP,10.10.20.35,bc:24:11:4a:98:b6
proxmox,Proxmox,10.10.10.250,1c:bf:ce:fb:eb:77
unifi,UDM Pro,10.10.10.254,24:5a:4c:72:bf:97
vaultwarden,Vaultwarden,10.10.10.105,0e:84:f0:d1:46:9a
unas,UNAS Pro,10.10.10.122,0c:ea:14:ea:0a:1f
